CODICE,TIPO,DESTINAZIONE,ZONA,CONTATORE_AREA,PLUS,LIVELLO_PLUS,SUPPLEMENTO,COSTO_SUPPLEMENTO,CODICE_COLLEGATO
ETHBA01,E,THAILANDIA,BANGKOK,01,Biglietti Templi - Tour dei Templi,esp,26,20,XTHBA08
ETHBA02,E,THAILANDIA,BANGKOK,02,"Prelievo in hotel, biglietti e Guida in Italiano - Tour dei Templi",TBD,71.5,55,XTHBA08
ETHBA03,E,THAILANDIA,BANGKOK,03,Tour Privato (min2) - Tour dei Templi,esp,107.9,83,XTHBA08
ETHBA04,E,THAILANDIA,BANGKOK,04,Prelievo in hotel - Damnoen Saduak e Maeklong,TBD,13,10,XTHBA02
ETHBA05,E,THAILANDIA,BANGKOK,05,TBD,TBD,52,40,XTHBA02
ETHBA06,E,THAILANDIA,BANGKOK,06,Tour Privato (min2) Damnoen Saduak e Maeklong,esp,113.10000000000001,87,XTHBA02
ETHBA07,E,THAILANDIA,BANGKOK,07,Prelievo in hotel - Antico Siam,TBD,13,10,XTHBA03
ETHBA08,E,THAILANDIA,BANGKOK,08,Prelievo in hotel  e Guida in Italiano - Antico Siam,TBD,91,70,XTHBA03
ETHBA09,E,THAILANDIA,BANGKOK,09,Tour Privato (min2) Antico Siam,esp,97.5,75,XTHBA03
ETHBA10,E,THAILANDIA,BANGKOK,10,Tour Privato (min2)  Ferrovia della morte,esp,106.60000000000001,82,XTHBA04
ETHBA11,E,THAILANDIA,BANGKOK,11,Prelievo in hotel - Santuario degli Elefanti,TBD,13,10,XTHBA05
ETHBA12,E,THAILANDIA,BANGKOK,12,Tour Privato (min2) Santuario degli Elefanti,esp,91,70,XTHBA05
ETHBA13,E,THAILANDIA,BANGKOK,13,Prelievo in Hotel e Cena - Tuk Tuk Tour,TBD,49.4,38,XTHBA09
ETHBA14,E,THAILANDIA,BANGKOK,14,Transfert APT HTL,htl,26,20,ZTHBA01
ETHBA15,E,THAILANDIA,BANGKOK,15,Extra Hotel,pacc,TBD,0,HTHBAME
ETHBA16,E,THAILANDIA,BANGKOK,16,Assicurazione Plus,iti,TBD,0,ZTHBA01
ETHCH01,E,THAILANDIA,CHIANG MAI,01,Prelievo in hotel  e Guida in Italiano - Tour dei Templi di Chiang Mai,TBD,53.300000000000004,41,XTHCH01
ETHCH02,E,THAILANDIA,CHIANG MAI,02,Tour Privato (min2) - Tour dei Templi di Chiang Mai,TBD,45.5,35,XTHCH01
ETHCH03,E,THAILANDIA,CHIANG MAI,03,Prelievo in hotel - Tour dei Templi di Chiang Rai,TBD,23.400000000000002,18,XTHCH02
ETHCH04,E,THAILANDIA,CHIANG MAI,04,Punto di incontro  e Guida in Italiano - Tour dei Templi di Chiang Rai,TBD,146.9,113,XTHCH02
ETHCH05,E,THAILANDIA,CHIANG MAI,05,Tour Privato (min2) - Tour dei Templi di Chiang Rai,TBD,140.4,108,XTHCH02
ETHCH06,E,THAILANDIA,CHIANG MAI,06,Prelievo in hotel  e Guida in Italiano - Tour dei Templi di Chiang Mai,TBD,13,10,XTHCH03
ETHCH07,E,THAILANDIA,CHIANG MAI,07,Punto di incontro  e Guida in Italiano - Tour Privato a Pai (min2),TBD,35.1,27,XTHCH05
ETHCH08,E,THAILANDIA,CHIANG MAI,08,Prelievo in hotel  e Guida in Italiano - Doi Inthanon,TBD,105.3,81,XTHCH06
ETHCH09,E,THAILANDIA,CHIANG MAI,09,Tour Privato (min2) - Doi Inthanon,TBD,92.3,71,XTHCH06
ETHCH10,E,THAILANDIA,CHIANG MAI,10,Transfert APT HTL,TBD,26,20,ZTHCH02
ETHPH01,E,THAILANDIA,PHUKET,01,TBD,TBD,TBD,0,PENDING
ETHKO01,E,THAILANDIA,KOH SAMUI,01,TBD,TBD,TBD,0,PENDING
EGRAT01,E,GRECIA,ATENE,01,Transfer APT-HTL,htl,TBD,0,ZGRAT01
EGRAT02,E,GRECIA,ATENE,02,Extra Hotel,pacc,TBD,0,HGRATME
EGRSA01,E,GRECIA,SANTORINI,01,Transfer APT-HTL,htl,TBD,0,ZGRSA02
EGRCR02,E,GRECIA,CRETA,02,Transfer APT-HTL,htl,TBD,0,ZGRCR03
ECUL'01,E,CUBA,L'AVANA,01,Transfer APT-HTL,htl,TBD,0,ZCUHA01
ECUVI01,E,CUBA,VIÃ‘ALES,01,Transfer da Havana,htl,TBD,0,ZCUVI02
ECUTR01,E,CUBA,TRINIDAD,01,Transfer da Havana,htl,TBD,0,ZCUTR03
EMAMA01,E,MAROCCO,MARRAKECH,01,Transfer APT-HTL,htl,TBD,0,ZMAMA01
EMADE01,E,MAROCCO,DESERTO SAHARA,01,Transfer da Marrakech,htl,TBD,0,ZMASA02
EMAES01,E,MAROCCO,ESSAOUIRA,01,Transfer da Marrakech,htl,TBD,0,ZMAES03
ESPBA01,E,SPAGNA,BARCELLONA,01,Transfer APT-HTL,htl,TBD,0,ZSPBA01
ESPMA01,E,SPAGNA,MADRID,01,Transfer APT-HTL,htl,TBD,0,ZSPMA02
ESPAN01,E,SPAGNA,ANDALUSIA,01,Transfer da Madrid,htl,TBD,0,ZSPAN03
EGITO01,E,GIAPPONE,TOKYO,01,Transfer APT-HTL,htl,TBD,0,ZGITO01
EGIKY01,E,GIAPPONE,KYOTO,01,Transfer da Tokyo,htl,TBD,0,ZGIKY02
EGIOS01,E,GIAPPONE,OSAKA,01,Transfer da Tokyo,htl,TBD,0,ZGIOS03
