CODICE,TIPO,DESTINAZIONE,ZONA,CONTATORE_ZONA,ZONA_1,ZONA_2,ZONA_3,ZONA_4,MIN_NOTTI,COSTI_ACC_1,COSTI_ACC_2,COSTI_ACC_3,COSTI_ACC_4,COSTI_ACC_5,COSTI_ACC_6,EXTRA_1,EXTRA_2,EXTRA_3,EXTRA_4,EXTRA_5,EXTRA_6,EXTRA_7
ITHBA01,I,THAILANDIA,BANGKOK,01,ZTHBA01,TBD,TBD,TBD,2,TBD,TBD,TBD,TBD,TBD,TBD,ETHBA16,ETHBA14,TBD,TBD,TBD,TBD,TBD
ITHBA02,I,THAILANDIA,BANGKOK,02,ZTHBA01,ZTHCH04,TBD,TBD,6,ATHCH01,ATHBA04,TBD,TBD,TBD,TBD,ETHBA16,ETHBA14,TBD,TBD,TBD,TBD,TBD
ITHBA03,I,THAILANDIA,BANGKOK,03,ZTHBA01,ZTHPH02,TBD,TBD,6,ATHPH02,TBD,TBD,TBD,TBD,TBD,ETHBA16,ETHBA14,TBD,TBD,TBD,TBD,TBD
ITHBA04,I,THAILANDIA,BANGKOK,04,ZTHBA01,ZTHKO05,TBD,TBD,6,ATHKO03,ATHBA08,TBD,TBD,TBD,TBD,ETHBA16,ETHBA14,TBD,TBD,TBD,TBD,TBD
ITHBA05,I,THAILANDIA,BANGKOK,05,ZTHBA01,ZTHCH04,ZTHPH02,TBD,10,ATHCH01,ATHPH05,TBD,TBD,TBD,TBD,ETHBA16,ETHBA14,TBD,TBD,TBD,TBD,TBD
ITHBA06,I,THAILANDIA,BANGKOK,06,ZTHBA01,ZTHCH04,ZTHKO05,TBD,10,ATHCH01,ATHKO06,ATHBA10,TBD,TBD,TBD,ETHBA16,ETHBA14,TBD,TBD,TBD,TBD,TBD
ITHBA07,I,THAILANDIA,BANGKOK,07,ZTHBA01,ZTHPH02,ZTHKO05,TBD,10,ATHPH02,ATHKO09,ATHBA10,TBD,TBD,TBD,ETHBA16,ETHBA14,TBD,TBD,TBD,TBD,TBD
ITHBA08,I,THAILANDIA,BANGKOK,08,ZTHBA01,ZTHCH04,ZTHPH02,ZTHKO05,15,ATHCH01,ATHPH05,ATHKO09,ATHBA10,TBD,TBD,ETHBA16,ETHBA14,TBD,TBD,TBD,TBD,TBD
ITHPH09,I,THAILANDIA,PHUKET,09,ZTHPH02,TBD,TBD,TBD,2,TBD,TBD,TBD,TBD,TBD,TBD,ETHBA16,ETHBA14,TBD,TBD,TBD,TBD,TBD
ITHPH10,I,THAILANDIA,PHUKET,10,ZTHPH02,ZTHBA01,TBD,TBD,6,ATHBA07,TBD,TBD,TBD,TBD,TBD,ETHBA16,ETHBA14,TBD,TBD,TBD,TBD,TBD
ITHPH11,I,THAILANDIA,PHUKET,11,ZTHPH02,ZTHCH04,TBD,TBD,6,ATHCH08,ATHBA04,TBD,TBD,TBD,TBD,ETHBA16,ETHBA14,TBD,TBD,TBD,TBD,TBD
ITHPH12,I,THAILANDIA,PHUKET,12,ZTHPH02,ZTHKO05,TBD,TBD,6,ATHKO09,ATHBA10,TBD,TBD,TBD,TBD,ETHBA16,ETHBA14,TBD,TBD,TBD,TBD,TBD
ITHPH13,I,THAILANDIA,PHUKET,13,ZTHPH02,ZTHCH04,ZTHBA01,TBD,10,ATHCH08,ATHBA04,TBD,TBD,TBD,TBD,ETHBA16,ETHBA14,TBD,TBD,TBD,TBD,TBD
ITHPH14,I,THAILANDIA,PHUKET,14,ZTHPH02,ZTHKO05,ZTHBA01,TBD,10,ATHKO09,ATHBA10,TBD,TBD,TBD,TBD,ETHBA16,ETHBA14,TBD,TBD,TBD,TBD,TBD
IGRAT01,I,GRECIA,ATENE,01,TBD,TBD,TBD,TBD,0,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
IGRSA02,I,GRECIA,SANTORINI,02,TBD,TBD,TBD,TBD,0,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
IGRCR03,I,GRECIA,CRETA,03,TBD,TBD,TBD,TBD,0,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
IGRAT04,I,GRECIA,ATENE,04,TBD,TBD,TBD,TBD,0,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
IGRAT05,I,GRECIA,ATENE,05,TBD,TBD,TBD,TBD,0,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
IGRAT06,I,GRECIA,ATENE,06,TBD,TBD,TBD,TBD,0,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
ICUHA01,I,CUBA,HAVANA,01,TBD,TBD,TBD,TBD,0,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
ICUVI02,I,CUBA,VINALES,02,TBD,TBD,TBD,TBD,0,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
ICUHA03,I,CUBA,HAVANA,03,TBD,TBD,TBD,TBD,0,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
