CODICE,TIPO,DESTINAZIONE,ZONA,NOME_PACCHETTO,CATEGORIA_1,CATEGORIA_2,CATEGORIA_3
PTHBA01,P,THAILANDIA,BANGKOK,Bangkok e dintorni,Cultura e Musei,Food Experience,Fotografia
PTHBA02,P,THAILANDIA,BANGKOK,Old Bangkok,Cultura e Musei,Local Life,Fotografia
PTHBA03,P,THAILANDIA,BANGKOK,Cultura Siam,Local Life,Food Experience,Natura e trekking
PTHBA04,P,THAILANDIA,BANGKOK,Thai Immersion,Local Life,Natura e trekking,Cultura e Musei
PTHBA05,P,THAILANDIA,BANGKOK,Old Siam,Cultura e Musei,Natura e trekking,Fotografia
PTHBA06,P,THAILANDIA,BANGKOK,Exclusive Bangkok,Cultura e Musei,Vita notturna,City Life
PTHBA07,P,THAILANDIA,BANGKOK,Full Thai Immersion,Local Life,Natura e trekking,Cultura e Musei
PTHBA08,P,THAILANDIA,BANGKOK,Bangkok Light,Cultura e Musei,Local Life,Food Experience
PTHBA09,P,THAILANDIA,BANGKOK,Bangkok e Pattaya,TBD,TBD,TBD
PTHCH01,P,THAILANDIA,CHIANG MAI,Città e santuari,TBD,TBD,TBD
PTHCH02,P,THAILANDIA,CHIANG MAI,Tour del nord,TBD,TBD,TBD
PTHCH03,P,THAILANDIA,CHIANG MAI,Un salto in città,City Life,Food e Local,Vita notturna
PTHPH01,P,THAILANDIA,PHUKET,Isole da Cinema,Mare e spiagge,Fotografia,Relax e spa
PTHPH02,P,THAILANDIA,PHUKET,Tour dell'isola,Cultura e Musei,Food e Local,Fotografia
PTHPH03,P,THAILANDIA,PHUKET,Similan e James Bond,Mare e spiagge,Fotografia,Relax e spa
PTHPH04,P,THAILANDIA,PHUKET,Un salto in città,City Life,Food e Local,Vita notturna
PTHKO01,P,THAILANDIA,KOH SAMUI,Isole da sogno,Mare e spiagge,Fotografia,Relax e spa
PTHKO02,P,THAILANDIA,KOH SAMUI,Un salto in città,Mare e spiagge,City Life,Food e Local
PVIHA01,P,VIETNAM,HANOI,Hanoi Autentica,Cultura e Musei,Local Life,Food Experience
PVIHA02,P,VIETNAM,HANOI,Hanoi e dintorni,Cultura e Musei,Fotografia,Local Life
PVIHL01,P,VIETNAM,HA LONG BAY,Ha Long Bay Classica,Mare,Fotografia,Relax
PVIHO01,P,VIETNAM,HOI AN,Hoi An Antica,Cultura e Musei,Shopping,Fotografia
PVIHO02,P,VIETNAM,HOI AN,Hoi An Completa,Cultura e Musei,Food Experience,Shopping
PVISG01,P,VIETNAM,HO CHI MINH,Saigon Classica,Cultura e Musei,Storia,Local Life
PVISG02,P,VIETNAM,HO CHI MINH,Saigon e Delta,Cultura e Musei,Natura,Local Life
PGRAT01,P,GRECIA,ATENE,Atene Classica,Cultura e Musei,Storia,Fotografia
PGRAT02,P,GRECIA,ATENE,Atene e dintorni,Cultura e Musei,Food Experience,Local Life
PGRSA01,P,GRECIA,SANTORINI,Tramonti e Vulcani,Mare e spiagge,Fotografia,Relax
PGRCR01,P,GRECIA,CRETA,Creta Autentica,Cultura e Musei,Mare e spiagge,Food Experience
PCUHA01,P,CUBA,L'AVANA,L'Avana Vieja,Cultura e Musei,Fotografia,Local Life
PCUHA02,P,CUBA,L'AVANA,Cuba Classica,Cultura e Musei,Food Experience,Vita notturna
PCUVI01,P,CUBA,VIÑALES,Valle del Tabacco,Natura e trekking,Fotografia,Local Life
PCUTR01,P,CUBA,TRINIDAD,Trinidad Coloniale,Cultura e Musei,Mare e spiagge,Fotografia
PMAMA01,P,MAROCCO,MARRAKECH,Marrakech Magica,Cultura e Musei,Local Life,Food Experience
PMAMA02,P,MAROCCO,MARRAKECH,Città Imperiale,Cultura e Musei,Fotografia,Shopping
PMASA01,P,MAROCCO,DESERTO SAHARA,Deserto e Dune,Natura e trekking,Fotografia,Avventura
PMAES01,P,MAROCCO,ESSAOUIRA,Costa Atlantica,Mare e spiagge,Relax,Fotografia
PSPBA01,P,SPAGNA,BARCELLONA,Barcellona Gaudí,Cultura e Musei,Architettura,Fotografia
PSPBA02,P,SPAGNA,BARCELLONA,Barcelona Experience,Cultura e Musei,Food Experience,Vita notturna
PSPMA01,P,SPAGNA,MADRID,Madrid Reale,Cultura e Musei,Arte,Fotografia
PSPAN01,P,SPAGNA,ANDALUSIA,Andalusia Classica,Cultura e Musei,Fotografia,Food Experience
PGITO01,P,GIAPPONE,TOKYO,Tokyo Moderna,Cultura e Musei,City Life,Fotografia
PGITO02,P,GIAPPONE,TOKYO,Tokyo Experience,Cultura e Musei,Food Experience,Shopping
PGIKY01,P,GIAPPONE,KYOTO,Kyoto Tradizionale,Cultura e Musei,Fotografia,Relax
PGIOS01,P,GIAPPONE,OSAKA,Osaka Gourmet,Cultura e Musei,Food Experience,City Life
